q_code,a_code,wgt
q1,a013,1
q2,a022,1
q3,a034,1
q4,a044,1
q5,a053,1
q6,a063,1
q7,a071,1
q8,a081,1
q9,a093,1
q10,a104,1
q11,a114,1
q12,a123,1
q13,a132,1
q14,a141,1
q15,a153,1
q16,a162,1
q17,a171,1
q18,a181,1
q19,a192,1
q20,a203,1
q21,a212,1
q22,a221,1
q23,a232,1
q24,a242,1
q25,a253,1
q26,a261,1
q27,a273,1
q28,a283,1
q29,a293,1
q30,a301,1
q31,a314,1
q32,a324,1
q33,a331,1
q34,a343,1
q35,a351,1
q36,a362,1
q37,a373,1
q38,a382,1
q39,a393,1
q40,a402,1
q41,a414,1
q42,a421,1
q43,a433,1
q44,a442,1
q45,a452,1
q46,a464,1
q47,a471,1
q48,a483,1
q49,a491,1
q50,a503,1
q51,a514,2
q52,a523,2
q53,a534,2
q54,a545,2
q55,a553,2
q56,a563,2
q57,a574,2
q58,a582,2
q59,a594,2
q60,a602,2
